file,rows,cols,bytes,md5
training_2025-01-01_2025-02-01.parquet,307257,30,21218481,7b4281af0168f7522823fe98647c8730
training_2025-02-01_2025-03-01.parquet,287411,30,19824510,e7bd4603a8a4aeb7c71cfc7894434e90
training_2025-03-01_2025-04-01.parquet,328622,30,22606072,ff832f6b927b12983c3841711a455265
training_2025-04-01_2025-05-01.parquet,350288,30,23840340,9aacd425b6de02c8f55a1399000cabb2
training_2025-05-01_2025-06-01.parquet,370105,30,25187756,b2425605928ed747d7967a0dba782aee
training_2025-06-01_2025-07-01.parquet,365986,30,24991697,b6d46117a348b8e3a10c2bc4dd1c50e0
training_2025-07-01_2025-08-01.parquet,381161,30,26014977,3886ca3f114041ef51bc6e6087dbf5b4
training_2025-08-01_2025-09-01.parquet,382047,30,25969246,768595bffa6e79fbb551df83e85d78e0
training_2025-09-01_2025-10-01.parquet,367679,30,25102673,58acd97f461904691333ed8859b7d7ec
training_2025-10-01_2025-11-01.parquet,371163,30,25392098,68a0907c1dabc874e08def0aa51c4857
training_2025-11-01_2025-12-01.parquet,324530,30,22173840,d0fb12e4af76c3e10a48fa23236f7f55
training_2025-12-01_2026-01-01.parquet,331548,30,22653598,e614bd2284773296dde5042909e4b2de
ranking.parquet,689534,30,43564605,80a5d97cdbcb25b768558feb71287517
submitting.parquet,344841,2,1677097,03044267cf6c774914ae275dfd29d0e0
